0,Time,Direction,Message,Channel,Channel Hex,CC Dez,Value,CC Hex,Label,Type,Layer

62,14:41:57.015,out,Controller 113: Undefined,1,B0,113,12,71,EQ High,Fader,B,Changed

63,14:41:58.081,out,Controller 105: Undefined,2,B1,105,14,69,Bank MSB,Fader,B,Changed

64,14:41:58.587,out,Controller 106: Undefined,2,B1,106,12,6A,Bank LSB,Fader,B,Changed

65,14:54:40.575,out,Controller 80: General Purpose Button 1,1,B0,80,127,50,F1,Button,0,Changed

67,14:54:40.575,out,Controller 81: General Purpose Button 2,1,B0,81,127,51,F2,Button,0,Changed

67,14:54:40.575,out,Controller 82: General Purpose Button 3,1,B0,82,127,52,F3,Button,0,Changed

67,14:54:40.575,out,Controller 83: General Purpose Button 4,1,B0,83,127,53,F4,Button,0,Changed

67,14:54:40.575,out,Controller 84: Portamento,1,B0,84,127,54,F5,Button,0,Changed

67,14:54:40.575,out,Controller 85: Undefined,1,B0,85,127,55,F6,Button,0,Changed

83,15:01:08.249,out,Controller 86: Undefined,1,B0,86,127,56,F1,Button,A,Changed

84,15:01:08.728,out,Controller 87: Undefined,1,B0,87,127,57,F2,Button,A,Changed

85,15:01:09.248,out,Controller 89: Undefined,1,B0,89,127,59,F3,Button,A,Changed

86,15:01:09.820,out,Controller 90: Undefined,1,B0,90,127,5A,F4,Button,A,Changed

87,15:01:10.283,out,Controller 103: Undefined,2,B1,103,127,67,F5,Button,A,Changed

88,15:01:10.799,out,Controller 104: Undefined,2,B1,104,127,68,F6,Button,A,Changed

89,15:01:17.422,out,Controller 91: Effect 1 Depth (Reverb),1,B0,91,127,5B,F1,Button,B,Changed

90,15:01:17.876,out,Controller 92: Effect 2 Depth (Tremolo),1,B0,92,127,5C,F2,Button,B,Changed

91,15:01:18.284,out,Controller 93: Effect 3 Depth (Chorus),1,B0,93,127,5D,F3,Button,B,Changed

92,15:01:18.762,out,Controller 94: Effect 4 Depth (Detune),1,B0,94,127,5E,F4,Button,B,Changed

93,15:01:19.196,out,Controller 95: Effect 5 Depth (Phaser),1,B0,95,127,5F,F5,Button,B,Changed

94,15:01:19.665,out,Controller 102: Undefined,2,B1,102,127,66,F6,Button,B,Changed
